"station_id","LocID","yyyy","mm","dd","doy","nObs","Tavg","Tmin","Tmax","TDavg","RHavg","RainTot","SRtot","WSavg"
"30004","375","2014","1","1","1",NULL,"3.97","-1.28","8.93","-0.34","75.2","0","4.45","0.54"
"30004","375","2014","1","2","2",NULL,"4.44","-4.92","9.27","3.27","87.2","8.13","1.54","1.64"
"30004","375","2014","1","3","3",NULL,"-4.41","-7.75","0.23","-10.65","62.38","0","1.47","1.59"
"30004","375","2014","1","4","4",NULL,"-1.34","-5.64","1.22","-8.51","57.73","0","3.03","1.13"
"30004","375","2014","1","5","5",NULL,"3.67","0.56","7.43","3.12","94.7","2.794","2.54","0.77"
"30004","375","2014","1","6","6",NULL,"-5.19","-12.84","8.29","-7.89","69.33","2.54","3.47","1.23"
"30004","375","2014","1","7","7",NULL,"-10.74","-15.75","-5.51","-18.81","52.68","0","2.5","1.74"
"30004","375","2014","1","8","8",NULL,"-3.24","-11.32","7.63","-12.69","54.09","0","1.8","0.57"
"30004","375","2014","1","9","9",NULL,"2.55","-4.32","8.35","-4.34","60.69","0","3.77","0.87"
"30004","375","2014","1","10","10",NULL,"6.59","3.33","9.07","6.41","97.7","8.89","2.42","0.9"
"30004","375","2014","1","11","11",NULL,"11.62","7.55","16.32","8.93","83.2","37.34","2.16","1.08"
"30004","375","2014","1","12","12",NULL,"5.69","-0.43","13.36","1.53","78","0","1.89","0.79"
"30004","375","2014","1","13","13",NULL,"5.62","-1.35","13.55","3.49","87.2","7.11","4.07","0.54"
"30004","375","2014","1","14","14",NULL,"8.06","0.83","13.03","4.69","81.3","4.572","2.22","1.07"
"30004","375","2014","1","15","15",NULL,"2.64","-1.95","7.23","-2.38","71.3","0","3.79","1.31"
"30004","375","2014","1","16","16",NULL,"-0.25","-5.44","6.04","-9.33","53.15","0","2.53","1.13"
"30004","375","2014","1","17","17",NULL,"2.75","-2.54","10.19","-6.09","54.73","0","3.31","1.5"
"30004","375","2014","1","18","18",NULL,"-0.61","-5.05","5.12","-10.75","47.55","0","2.82","1.39"
"30004","375","2014","1","19","19",NULL,"4.14","-1.62","10.19","-4.41","55.59","0","2.86","1.15"
"30004","375","2014","1","20","20",NULL,"4.53","-3.46","16.85","-2.78","66.21","0","3.05","0.84"
"30004","375","2014","1","21","21",NULL,"1.29","-5.9","7.91","-3.87","68.76","0","4.89","2.33"
"30004","375","2014","1","22","22",NULL,"-5.18","-10.54","-0.64","-17.6","38.87","0","6.84","2.17"
