"station_id","LocID","yyyy","mm","dd","hr","doy","nObs","Tavg","Tmin","Tmax"
"30004","375","2015","1","1","0","1","4","-0.28","-0.4","-0.2"
"30004","375","2015","1","1","1","1","4","-0.22","-0.5","-0.1"
"30004","375","2015","1","1","2","1","4","-1.05","-1.3","-0.8"
"30004","375","2015","1","1","3","1","4","-1.55","-1.7","-1.4"
"30004","375","2015","1","1","4","1","4","-2.05","-2.2","-1.9"
"30004","375","2015","1","1","5","1","4","-2.23","-2.3","-2.1"
"30004","375","2015","1","1","6","1","4","-2.4","-2.5","-2.3"
"30004","375","2015","1","1","7","1","4","-2.27","-2.4","-2.2"
"30004","375","2015","1","1","8","1","4","-1.85","-2.1","-1.3"
"30004","375","2015","1","1","9","1","4","0.73","-0.7","2.2"
"30004","375","2015","1","1","10","1","4","4.9","3.5","6.2"
"30004","375","2015","1","1","11","1","4","7.4","6.7","8.2"
"30004","375","2015","1","1","12","1","4","9.55","8.8","10.2"
"30004","375","2015","1","1","13","1","4","10.55","10.4","10.7"
"30004","375","2015","1","1","14","1","4","10.68","10.5","10.8"
"30004","375","2015","1","1","15","1","4","10.78","10.6","10.9"
"30004","375","2015","1","1","16","1","4","10.25","10","10.4"
"30004","375","2015","1","1","17","1","4","8.75","7.9","9.6"
"30004","375","2015","1","1","18","1","4","7.78","7.7","7.9"
"30004","375","2015","1","1","19","1","4","7.72","7.6","7.8"
"30004","375","2015","1","1","20","1","4","5.65","4.9","6.8"
"30004","375","2015","1","1","21","1","4","4.6","4.5","4.7"
"30004","375","2015","1","1","22","1","4","4.4","4.2","4.5"
"30004","375","2015","1","1","23","1","4","4.2","4.2","4.2"
"30004","375","2015","1","2","0","2","4","4.17","4.1","4.3"
"30004","375","2015","1","2","1","2","4","4.03","4","4.1"
"30004","375","2015","1","2","2","2","4","4.12","4","4.2"
"30004","375","2015","1","2","3","2","4","4.33","4.2","4.4"
"30004","375","2015","1","2","4","2","4","4.58","4.4","4.7"
"30004","375","2015","1","2","5","2","4","4.92","4.8","5"
"30004","375","2015","1","2","6","2","4","5","5","5"
"30004","375","2015","1","2","7","2","4","5.2","5","5.3"
"30004","375","2015","1","2","8","2","4","5.53","5.4","5.7"
"30004","375","2015","1","2","9","2","4","6.03","5.8","6.3"
"30004","375","2015","1","2","10","2","4","6.9","6.7","7"
"30004","375","2015","1","2","11","2","4","7.03","6.9","7.1"
"30004","375","2015","1","2","12","2","4","7.12","7","7.3"
"30004","375","2015","1","2","13","2","4","7.78","7.6","7.9"
"30004","375","2015","1","2","14","2","4","7.75","7.7","7.8"
"30004","375","2015","1","2","15","2","4","7.78","7.7","7.8"
"30004","375","2015","1","2","16","2","4","7.9","7.9","7.9"
"30004","375","2015","1","2","17","2","4","8.05","8","8.1"
"30004","375","2015","1","2","18","2","4","8.15","8.1","8.2"
"30004","375","2015","1","2","19","2","4","8.32","8.2","8.4"
"30004","375","2015","1","2","20","2","4","8.53","8.5","8.6"
"30004","375","2015","1","2","21","2","4","8.65","8.6","8.7"
"30004","375","2015","1","2","22","2","4","8.9","8.9","8.9"
"30004","375","2015","1","2","23","2","4","8.75","8.6","8.9"
"30004","375","2015","1","3","0","3","4","8.6","8.6","8.6"
"30004","375","2015","1","3","1","3","4","8.55","8.5","8.6"
"30004","375","2015","1","3","2","3","4","8.45","8.4","8.5"
"30004","375","2015","1","3","3","3","4","8.55","8.5","8.6"
"30004","375","2015","1","3","4","3","4","8.65","8.6","8.7"
"30004","375","2015","1","3","5","3","4","8.75","8.7","8.8"
"30004","375","2015","1","3","6","3","4","8.75","8.7","8.8"
"30004","375","2015","1","3","7","3","4","8.78","8.7","8.8"
"30004","375","2015","1","3","8","3","4","8.8","8.8","8.8"
"30004","375","2015","1","3","9","3","4","8.93","8.9","9"
"30004","375","2015","1","3","10","3","4","9.18","9.1","9.3"
"30004","375","2015","1","3","11","3","4","9.43","9.4","9.5"
"30004","375","2015","1","3","12","3","4","9.6","9.5","9.7"
"30004","375","2015","1","3","13","3","4","9.6","9.5","9.7"
"30004","375","2015","1","3","14","3","4","9.68","9.6","9.8"
"30004","375","2015","1","3","15","3","4","9.65","9.6","9.7"
"30004","375","2015","1","3","16","3","4","9.6","9.6","9.6"
"30004","375","2015","1","3","17","3","4","9.47","9.4","9.5"
"30004","375","2015","1","3","18","3","4","9.4","9.4","9.4"
"30004","375","2015","1","3","19","3","4","9.8","9.4","10.2"
"30004","375","2015","1","3","20","3","4","10.35","10.3","10.4"
"30004","375","2015","1","3","21","3","4","10.53","10.4","10.6"
"30004","375","2015","1","3","22","3","4","11.3","10.8","11.8"
"30004","375","2015","1","3","23","3","4","12.3","12","12.7"
"30004","375","2015","1","4","0","4","4","13","12.8","13.2"
"30004","375","2015","1","4","1","4","4","12.8","12.7","12.9"
"30004","375","2015","1","4","2","4","4","12.88","12.7","13.1"
"30004","375","2015","1","4","3","4","4","13.15","13.1","13.2"
"30004","375","2015","1","4","4","4","4","13.2","13.2","13.2"
"30004","375","2015","1","4","5","4","4","14.12","13.4","15.2"
"30004","375","2015","1","4","6","4","4","14.82","14.7","14.9"
"30004","375","2015","1","4","7","4","4","15.18","15.1","15.3"
"30004","375","2015","1","4","8","4","4","15.43","15.4","15.5"
"30004","375","2015","1","4","9","4","4","15.53","15.4","15.6"
